,family,steel,carbon,hardness,temper_rolling,condition,formability,strength,non-ageing,surface-quality,bf,bt,bw/me,bl,cbond,ferro,blue/bright/varn/clean,shape,thick,width,len,bore,recozimento,thick_q,width_q,len_q
29,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
30,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
31,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
32,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
33,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
34,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
35,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
36,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
37,?,A,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
38,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,3.3,152.0,0.0,0,ruim,grupo_thick_06,grupo_width_01,grupo_len_01
39,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
40,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
41,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
42,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
43,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
44,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
45,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
46,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
47,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6990000000000001,1320.0,0.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_01
48,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
49,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
50,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
51,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,1.0,1320.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
52,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
53,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
54,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
55,ZS,A,0,0,?,S,5.0,0,N,E,?,?,?,?,?,?,?,COIL,1.2,610.0,0.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
56,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.3,1320.0,4880.0,0,ruim,grupo_thick_01,grupo_width_03,grupo_len_03
57,?,R,0,0,?,S,2.0,0,?,E,?,?,B,Y,Y,?,?,SHEET,1.2,610.0,150.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
58,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,COIL,1.2,609.9,0.0,0,ruim,grupo_thick_03,grupo_width_02,grupo_len_01
59,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,1220.0,761.0,0,mediano,grupo_thick_01,grupo_width_03,grupo_len_02
60,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,4.0,1320.0,762.0,0,ruim,grupo_thick_06,grupo_width_03,grupo_len_02
61,?,A,0,80,T,?,?,0,?,G,?,?,?,?,?,?,?,SHEET,0.8,610.0,4170.0,0,ideal,grupo_thick_02,grupo_width_02,grupo_len_03
62,?,A,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,3.2,1320.1,762.0,0,ruim,grupo_thick_06,grupo_width_03,grupo_len_02
63,?,A,0,70,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,0.501,1200.1,0.0,0,ideal,grupo_thick_01,grupo_width_03,grupo_len_01
64,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,761.0,0,ruim,grupo_thick_01,grupo_width_02,grupo_len_02
65,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,610.0,0.0,0,mediano,grupo_thick_02,grupo_width_02,grupo_len_01
66,?,S,70,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,3.2,609.9,0.0,0,mediano,grupo_thick_06,grupo_width_02,grupo_len_01
67,?,A,3,0,T,?,?,0,?,?,Y,?,?,?,?,?,?,COIL,0.5,610.0,0.0,0,ideal,grupo_thick_01,grupo_width_02,grupo_len_01
68,?,?,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,3.2,1320.0,0.0,0,ideal,grupo_thick_06,grupo_width_03,grupo_len_01
69,?,A,0,60,T,?,?,0,?,G,?,?,B,Y,Y,?,?,SHEET,0.8,356.0,4880.0,0,ideal,grupo_thick_02,grupo_width_01,grupo_len_03
70,?,K,55,0,?,?,?,0,?,?,?,?,?,?,?,?,?,COIL,0.8,900.0,0.0,0,mediano,grupo_thick_02,grupo_width_02,grupo_len_01
71,?,W,0,0,?,?,?,310,?,G,?,?,?,?,?,?,?,COIL,1.6,610.0,0.0,500,mediano,grupo_thick_04,grupo_width_02,grupo_len_01
72,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
73,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
74,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,Y,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
75,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
76,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
77,?,A,0,0,?,S,2.0,0,?,F,Y,?,B,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
78,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
79,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
80,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,Y,?,?,?,SHEET,0.6,610.0,4880.0,0,mediano,grupo_thick_01,grupo_width_02,grupo_len_03
81,?,?,0,45,?,S,?,0,?,E,?,?,?,?,Y,?,?,SHEET,1.4,1320.0,4170.0,0,mediano,grupo_thick_03,grupo_width_03,grupo_len_03
82,?,A,0,45,?,S,?,0,?,D,?,?,B,?,?,?,?,SHEET,0.6990000000000001,1320.0,762.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_02
83,?,A,0,85,T,?,?,0,?,G,?,?,?,?,?,?,?,COIL,4.0,450.0,0.0,0,ideal,grupo_thick_06,grupo_width_01,grupo_len_01
84,?,A,0,0,?,S,3.0,0,N,F,?,?,?,?,?,?,?,SHEET,0.75,1320.0,4880.0,0,mediano,grupo_thick_02,grupo_width_03,grupo_len_03
85,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,1.6,1220.0,0.0,0,ideal,grupo_thick_04,grupo_width_03,grupo_len_01
86,TN,A,0,0,?,?,3.0,0,N,?,?,?,B,?,?,?,?,COIL,1.6,1220.0,0.0,0,ideal,grupo_thick_04,grupo_width_03,grupo_len_01
87,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.6,1220.0,0.0,0,ideal,grupo_thick_04,grupo_width_03,grupo_len_01
88,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,1.6,1220.0,0.0,0,ideal,grupo_thick_04,grupo_width_03,grupo_len_01
89,?,M,0,0,?,?,?,350,?,G,?,Y,?,?,?,?,?,COIL,1.399,1320.0,0.0,0,ideal,grupo_thick_03,grupo_width_03,grupo_len_01
90,?,A,0,50,T,?,?,0,?,G,?,Y,?,?,?,?,?,COIL,0.6,1320.0,0.0,0,ideal,grupo_thick_01,grupo_width_03,grupo_len_01
91,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.6509999999999999,20.0,0.0,0,ruim,grupo_thick_02,grupo_width_01,grupo_len_01
92,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,1.6,374.9,4880.0,0,ruim,grupo_thick_04,grupo_width_01,grupo_len_03
93,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim,grupo_thick_04,grupo_width_01,grupo_len_01
94,ZS,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim,grupo_thick_04,grupo_width_01,grupo_len_01
95,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim,grupo_thick_04,grupo_width_01,grupo_len_01
96,?,R,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,1.6,50.0,0.0,0,ruim,grupo_thick_04,grupo_width_01,grupo_len_01
97,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
98,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
99,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
100,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
101,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
102,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
103,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
104,?,A,0,0,?,S,2.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
105,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
106,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
107,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
108,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
109,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
110,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
111,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
112,?,R,0,0,?,S,2.0,0,?,E,?,?,?,Y,?,?,?,SHEET,0.6990000000000001,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
113,ZS,A,0,50,T,?,?,0,?,E,?,?,?,?,?,?,?,COIL,0.7,610.0,0.0,0,ideal,grupo_thick_02,grupo_width_02,grupo_len_01
114,TN,A,0,0,?,?,3.0,0,N,?,?,?,?,?,?,Y,?,COIL,0.799,20.0,0.0,0,ideal,grupo_thick_02,grupo_width_01,grupo_len_01
115,?,A,0,0,?,S,2.0,0,?,F,Y,?,?,?,?,?,?,SHEET,0.6,610.0,301.0,0,ruim,grupo_thick_01,grupo_width_02,grupo_len_01
116,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
117,?,R,0,0,?,S,3.0,0,?,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
118,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
119,?,A,0,0,?,S,3.0,0,N,E,?,?,?,?,?,?,?,SHEET,0.601,610.0,4880.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_03
120,?,A,0,45,?,S,?,0,?,D,?,?,?,Y,?,?,?,SHEET,0.7,1320.0,4880.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_03
121,?,W,0,0,?,?,?,310,?,G,?,?,B,?,?,?,?,COIL,2.5,1274.9,0.0,500,mediano,grupo_thick_05,grupo_width_03,grupo_len_01
122,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
123,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
124,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
125,?,A,0,0,?,S,2.0,0,?,E,?,?,B,Y,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
126,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
127,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
128,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
129,?,A,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
130,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
131,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
132,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
133,?,R,0,0,?,S,2.0,0,?,E,?,?,B,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
134,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
135,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
136,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
137,?,R,0,0,?,S,2.0,0,?,E,Y,?,?,?,?,?,?,SHEET,0.7,609.9,762.0,0,ruim,grupo_thick_02,grupo_width_02,grupo_len_02
138,?,?,0,0,?,S,1.0,0,?,G,?,?,?,?,?,?,?,SHEET,0.3,1320.0,761.0,0,ruim,grupo_thick_01,grupo_width_03,grupo_len_02
139,?,A,0,45,?,S,?,0,?,D,?,?,?,?,?,?,?,SHEET,0.599,150.0,4880.0,0,ruim,grupo_thick_01,grupo_width_01,grupo_len_03
140,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
141,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
142,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
143,?,A,0,0,?,S,2.0,0,?,E,?,Y,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
144,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
145,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
146,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
147,?,?,0,0,T,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
148,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
149,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
150,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
151,?,R,0,0,?,S,2.0,0,?,E,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
152,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
153,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
154,?,V,0,0,?,S,2.0,0,?,?,?,?,?,?,?,?,?,COIL,0.7,1320.0,0.0,0,ruim,grupo_thick_02,grupo_width_03,grupo_len_01
